date,portfolio_value,cash,open_positions_val,open_count,nifty_value,peak,drawdown,nifty_peak,nifty_drawdown
2025-05-26,1105569.6454557343,525917.6876920623,579651.9577636719,2,1285802.8384398785,1166088.1638691898,-5.189875027343502,1348284.8581181858,-4.6341853727790125
2025-05-27,1103724.8540738984,525917.6876920623,577807.1663818359,2,1276805.1439390043,1166088.1638691898,-5.348078449605739,1348284.8581181858,-5.301529105573908
2025-05-28,1104157.6198209687,525917.6876920623,578239.9321289062,2,1273012.200100288,1166088.1638691898,-5.310965840072481,1348284.8581181858,-5.5828453137830625
2025-05-29,1106755.3815397187,525917.6876920623,580837.6938476562,2,1277185.744156295,1166088.1638691898,-5.088190084410029,1348284.8581181858,-5.273300633304191
2025-05-30,1104342.452706711,525917.6876920623,578424.7650146484,2,1272922.198043098,1166088.1638691898,-5.295115161584425,1348284.8581181858,-5.589520613638886
2025-06-02,1106611.5347811703,351039.4124667171,755572.1223144531,2,1271168.4637613145,1166088.1638691898,-5.100525923414784,1348284.8581181858,-5.7195921093783815
2025-06-03,1101391.8113924984,351039.4124667171,750352.3989257812,2,1262214.5649043405,1166088.1638691898,-5.548152745331262,1348284.8581181858,-6.383687593582736
2025-06-04,1114818.5085360531,351039.4124667171,763779.0960693359,2,1266210.6160640814,1166088.1638691898,-4.396722042269871,1348284.8581181858,-6.08730726002932
2025-06-05,1130256.5118002133,1130256.5118002133,0.0,0,1272932.544261726,1166088.1638691898,-3.0728081442902027,1348284.8581181858,-5.588753252159907
2025-06-06,1130256.5118002133,1130256.5118002133,0.0,0,1285900.5750488583,1166088.1638691898,-3.0728081442902027,1348284.8581181858,-4.626936414341834
2025-06-09,1143147.8792318539,512879.4016927914,630268.4775390625,2,1291051.183848488,1166088.1638691898,-1.9672856091101987,1348284.8581181858,-4.244924499825612
2025-06-10,1135928.907796307,132101.38777677575,1003827.5200195312,3,1291105.2252622917,1166088.1638691898,-2.5863615640185866,1348284.8581181858,-4.240916339867542
2025-06-11,1129376.4557559993,492847.1937931088,636529.2619628906,4,1293015.8604518103,1166088.1638691898,-3.1482789424238384,1348284.8581181858,-4.09920777004905
2025-06-12,1120612.000555804,492847.1937931088,627764.8067626953,4,1279993.7882508743,1166088.1638691898,-3.8998906534212328,1348284.8581181858,-5.065032767825192
2025-06-13,1112740.5902311339,1111169.0799772276,1571.51025390625,1,1271271.323255246,1166088.1638691898,-4.5749176855585,1348284.8581181858,-5.711963195257438
2025-06-16,1112773.6498014464,1111169.0799772276,1604.56982421875,1,1282992.182678461,1166088.1638691898,-4.5720826023000605,1348284.8581181858,-4.8426469411556194
2025-06-17,1112786.5836906065,1112786.5836906065,0.0,0,1278204.0933257046,1166088.1638691898,-4.570973433237127,1348284.8581181858,-5.197771403462441
2025-06-18,1112786.5836906065,1112786.5836906065,0.0,0,1276077.4933784201,1166088.1638691898,-4.570973433237127,1348284.8581181858,-5.3554977128902985
2025-06-19,1112786.5836906065,1112786.5836906065,0.0,0,1275110.573955976,1166088.1638691898,-4.570973433237127,1348284.8581181858,-5.427212485671603
2025-06-20,1112786.5836906065,1112786.5836906065,0.0,0,1291524.3977898066,1166088.1638691898,-4.570973433237127,1348284.8581181858,-4.209827024802482
2025-06-23,1106633.0676383604,111378.0791129698,995254.9885253906,3,1284298.5183411336,1166088.1638691898,-5.098679334292511,1348284.8581181858,-4.745758241797547
2025-06-24,1114308.4715079893,111378.0791129698,1002930.3923950195,3,1288024.5633293046,1166088.1638691898,-4.4404611902920434,1348284.8581181858,-4.469403807811584
2025-06-25,1135829.4986686339,111378.0791129698,1024451.4195556641,3,1298331.104710965,1166088.1638691898,-2.594886573597904,1348284.8581181858,-3.704985122872459
2025-06-26,1148090.712352716,111378.0791129698,1036712.6332397461,3,1313978.6052252622,1166088.1638691898,-1.543404013017049,1348284.8581181858,-2.5444365622265543
2025-06-27,1146256.945201837,111378.0791129698,1034878.8660888672,3,1318545.6069353013,1166088.1638691898,-1.7006620324102222,1348284.8581181858,-2.2057097952128455
2025-06-30,1148155.5177726378,111378.0791129698,1036777.438659668,3,1312335.4649891998,1166088.1638691898,-1.5378465069956482,1348284.8581181858,-2.6663054852637686
2025-07-01,1151115.1132316221,111378.0791129698,1039737.0341186523,3,1313608.3512265994,1166088.1638691898,-1.2840410443654333,1348284.8581181858,-2.5718976730173093
2025-07-02,1156289.1786002745,111378.0791129698,1044911.0994873047,3,1309061.9415050915,1166088.1638691898,-0.8403297085531983,1348284.8581181858,-2.909097167184543
2025-07-03,1152366.5529737608,764865.8776807921,387500.67529296875,1,1306588.190765789,1166088.1638691898,-1.1767215653659882,1348284.8581181858,-3.0925710617705224
2025-07-04,1153230.313227667,764865.8776807921,388364.435546875,1,1309452.7874922855,1166088.1638691898,-1.1026482422100259,1348284.8581181858,-2.8801087835473127
2025-07-07,1151039.3532667295,764865.8776807921,386173.4755859375,1,1309468.2565958651,1166088.1638691898,-1.2905379772080805,1348284.8581181858,-2.8789614663845855
2025-07-08,1144955.572269491,1144955.572269491,0.0,0,1312615.7169306728,1166088.1638691898,-1.8122636224673576,1348284.8581181858,-2.6455196743288196
2025-07-09,1144955.572269491,1144955.572269491,0.0,0,1310229.3565817217,1166088.1638691898,-1.8122636224673576,1348284.8581181858,-2.8225119719566174
2025-07-10,1144955.572269491,1144955.572269491,0.0,0,1304014.0917506686,1166088.1638691898,-1.8122636224673576,1348284.8581181858,-3.283487617691288
2025-07-11,1144955.572269491,1144955.572269491,0.0,0,1293450.4016341802,1166088.1638691898,-1.8122636224673576,1348284.8581181858,-4.066978587932711
2025-07-14,1144955.572269491,1144955.572269491,0.0,0,1289976.3824958857,1166088.1638691898,-1.8122636224673576,1348284.8581181858,-4.324640692300124
2025-07-15,1144955.572269491,1144955.572269491,0.0,0,1295813.6587764863,1166088.1638691898,-1.8122636224673576,1348284.8581181858,-3.8916998159375638
2025-07-16,1144955.572269491,1144955.572269491,0.0,0,1296649.392164678,1166088.1638691898,-1.8122636224673576,1348284.8581181858,-3.829714888705033
2025-07-17,1144955.572269491,1144955.572269491,0.0,0,1291475.4792609545,1166088.1638691898,-1.8122636224673576,1348284.8581181858,-4.213455229076787
2025-07-18,1144955.572269491,1144955.572269491,0.0,0,1284118.5142267537,1166088.1638691898,-1.8122636224673576,1348284.8581181858,-4.759108841509177
